ID;Mandante;Chutes;Chutes a gol;Posse de bola;Passes;Precisão de passe;Faltas;Cartões amarelos;Cartões vermelhos;Impedimentos;Escanteios
6092;1;14;0;51%;432;;8;1;0;1;9
6092;0;13;0;49%;430;;9;1;0;0;5
6095;1;13;0;60%;631;;19;3;0;2;4
6095;0;9;0;40%;436;;14;2;0;1;3
6099;1;12;0;51%;424;;5;3;1;2;3
6099;0;18;0;49%;401;;16;5;0;4;11
6098;1;7;0;33%;253;;22;3;0;7;2
6098;0;13;0;67%;506;;14;3;0;3;4
6097;1;8;0;56%;496;;15;2;0;4;6
6097;0;11;0;44%;401;;17;4;0;2;2
6096;1;15;4;47%;408;;12;3;0;3;7
6096;0;7;1;53%;479;;10;2;0;0;5
6100;1;18;0;63%;520;;8;1;0;4;12
6100;0;10;0;37%;320;;15;4;0;4;5
6103;1;12;0;57%;478;;17;2;0;0;8
6103;0;8;0;43%;380;;14;3;1;2;2
6104;1;15;0;60%;460;;5;2;0;3;7
6104;0;5;0;40%;322;;29;4;0;1;3
6101;1;13;0;48%;392;;10;0;0;4;4
6101;0;12;0;52%;427;;9;2;0;1;7
6105;1;10;0;47%;379;;10;0;0;7;3
6105;0;21;0;53%;417;;13;4;0;2;6
6102;1;14;0;60%;536;;13;2;0;3;6
6102;0;8;0;40%;362;;25;4;0;1;0
6107;1;16;0;62%;430;;24;3;0;3;5
6107;0;17;0;38%;279;;19;3;0;1;6
6106;1;8;0;58%;304;;14;4;0;0;5
6106;0;9;0;42%;229;;26;3;0;4;2
6109;1;25;11;68%;564;;6;0;0;1;7
6109;0;6;3;32%;283;;13;6;2;0;2
6108;1;20;0;56%;428;;8;1;0;6;13
6108;0;12;0;44%;344;;22;4;0;0;7
6110;1;14;0;39%;267;;16;4;0;2;4
6110;0;14;0;61%;425;;18;2;0;0;4
6114;1;12;0;46%;425;;10;2;0;1;4
6114;0;9;0;54%;482;;12;3;0;0;4
6111;1;12;0;54%;504;;8;0;0;1;4
6111;0;8;0;46%;457;;14;0;1;1;3
6113;1;10;0;41%;351;;19;4;1;4;6
6113;0;10;0;59%;502;;17;3;1;1;7
6112;1;12;0;49%;485;;11;4;0;7;1
6112;0;14;0;51%;476;;9;3;0;0;7
6117;1;14;0;62%;526;;9;4;0;2;5
6117;0;6;0;38%;323;;16;3;0;1;4
6118;1;12;0;48%;377;;13;4;1;0;3
6118;0;15;0;52%;394;;12;4;1;2;11
6116;1;17;0;51%;381;;10;2;0;4;2
6116;0;15;0;49%;384;;20;3;2;2;3
6115;1;16;0;58%;414;;14;1;0;9;9
6115;0;13;0;42%;314;;13;5;0;1;9
6119;1;21;6;48%;452;;16;2;0;1;3
6119;0;11;3;52%;473;;18;3;0;0;6
6122;1;12;0;50%;375;;14;3;0;1;12
6122;0;7;0;50%;406;;16;3;0;3;4
6120;1;14;0;64%;433;;7;1;0;2;16
6120;0;14;0;36%;265;;16;6;0;1;3
6121;1;13;0;52%;473;;10;0;0;1;7
6121;0;6;0;48%;452;;11;2;0;3;3
6123;1;13;0;58%;505;;11;2;0;4;10
6123;0;7;0;42%;376;;13;1;0;7;3
6127;1;13;0;40%;344;;18;1;0;2;8
6127;0;9;0;60%;503;;14;3;0;3;2
6125;1;19;6;46%;371;;15;2;0;6;13
6125;0;10;5;54%;443;;12;2;1;1;3
6128;1;14;0;52%;408;;16;1;0;2;6
6128;0;18;0;48%;371;;27;2;0;1;5
6124;1;12;0;49%;362;;22;5;0;4;3
6124;0;11;0;51%;373;;15;5;0;3;2
6129;1;6;0;32%;255;;18;4;0;1;2
6129;0;6;0;68%;535;;10;0;0;7;10
6126;1;12;0;61%;506;;4;3;0;2;8
6126;0;16;0;39%;324;;12;2;1;3;7
6135;1;13;0;40%;322;;13;2;0;2;6
